name,version,licenseName,environment,licenseURL,sourceCodeURL
get-func-name,2.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/get-func-name
get-intrinsic,1.1.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/ljharb/get-intrinsic
get-stream,5.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/get-stream
glob,7.2.3,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/node-glob
graceful-fs,4.2.10,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/node-graceful-fs
has,1.0.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/tarruda/has
has-flag,4.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/has-flag
has-symbols,1.0.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/inspect-js/has-symbols
hosted-git-info,2.8.9,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/hosted-git-info
http-errors,2.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/http-errors
iconv-lite,0.4.24,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/ashtuchkin/iconv-lite
inflight,1.0.6,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/inflight
inherits,2.0.4,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/inherits
ipaddr.js,1.9.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/whitequark/ipaddr.js
is-core-module,2.9.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/inspect-js/is-core-module
is-docker,2.2.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/is-docker
is-wsl,2.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/is-wsl
jake,10.8.5,Apache-2.0,Standalone,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/jakejs/jake
js-yaml,4.1.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/nodeca/js-yaml
json-parse-even-better-errors,2.3.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/npm/json-parse-even-better-errors
jsonfile,6.1.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jprichardson/node-jsonfile
license-checker,25.0.1,BSD-3-Clause,Standalone,https://opensource.org/licenses/BSD-3-Clause,http://github.com/davglass/license-checker
lodash,4.17.21,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/lodash/lodash
loupe,2.3.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/loupe
media-typer,0.3.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/media-typer
merge-descriptors,1.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/component/merge-descriptors
methods,1.1.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/methods
mime,1.6.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/broofa/node-mime
mime-db,1.52.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/mime-db
mime-types,2.1.35,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/mime-types
minimatch,5.1.0,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/minimatch
minimist,1.2.6,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/substack/minimist
mkdirp,0.5.6,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/substack/node-mkdirp
ms,2.1.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/vercel/ms
negotiator,0.6.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/negotiator
nopt,4.0.3,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/nopt
normalize-package-data,2.5.0,BSD-2-Clause,Standalone,https://opensource.org/licenses/BSD-2-Clause,https://github.com/npm/normalize-package-data
npm-normalize-package-bin,1.0.1,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/npm-normalize-package-bin
object-assign,4.1.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/object-assign
object-inspect,1.12.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/inspect-js/object-inspect
on-finished,2.4.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/on-finished
once,1.4.0,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/once
open,8.4.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/open
opentosca-vintner,1.0.0,Apache-2.0,Standalone,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/opentosca/opentosca-vintner
os-homedir,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/os-homedir
os-tmpdir,1.0.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/os-tmpdir
osenv,0.1.5,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/osenv
papaparse,5.3.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/mholt/PapaParse
parseurl,1.3.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/pillarjs/parseurl
path-is-absolute,1.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/sindresorhus/path-is-absolute
path-parse,1.0.7,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jbgutierrez/path-parse
path-to-regexp,0.1.7,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/component/path-to-regexp
pathval,1.1.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/pathval
pend,1.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/andrewrk/node-pend
proxy-addr,2.0.7,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/proxy-addr
pump,3.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/mafintosh/pump
qs,6.10.3,BSD-3-Clause,Standalone,https://opensource.org/licenses/BSD-3-Clause,https://github.com/ljharb/qs
range-parser,1.2.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/range-parser
raw-body,2.5.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/stream-utils/raw-body
read-installed,4.0.3,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/read-installed
read-package-json,2.1.2,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/read-package-json
readdir-scoped-modules,1.1.0,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/readdir-scoped-modules
resolve,1.22.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/browserify/resolve
safe-buffer,5.2.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/feross/safe-buffer
safer-buffer,2.1.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/ChALkeR/safer-buffer
sax,1.2.4,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/sax-js
semver,5.7.1,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/node-semver
send,0.18.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/pillarjs/send
serve-static,1.15.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/expressjs/serve-static
setprototypeof,1.2.0,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/wesleytodd/setprototypeof
side-channel,1.0.4,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/ljharb/side-channel
slide,1.1.6,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/isaacs/slide-flow-control
spdx-compare,1.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/kemitchell/spdx-compare.js
spdx-correct,3.1.1,Apache-2.0,Standalone,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/jslicense/spdx-correct.js
spdx-exceptions,2.3.0,CC-BY-3.0,Standalone,https://creativecommons.org/licenses/by/3.0/,https://github.com/kemitchell/spdx-exceptions.json
spdx-expression-parse,3.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jslicense/spdx-expression-parse.js
spdx-license-ids,3.0.11,CC0-1.0,Standalone,https://creativecommons.org/publicdomain/zero/1.0,https://github.com/jslicense/spdx-license-ids
spdx-ranges,2.1.1,MIT AND CC-BY-3.0,Standalone,https://opensource.org/licenses/MIT https://creativecommons.org/licenses/by/3.0/,https://github.com/kemitchell/spdx-ranges.js
spdx-satisfies,4.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/kemitchell/spdx-satisfies.js
statuses,2.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/statuses
supports-color,7.2.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chalk/supports-color
supports-preserve-symlinks-flag,1.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/inspect-js/node-supports-preserve-symlinks-flag
toidentifier,1.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/component/toidentifier
treeify,1.1.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/notatestuser/treeify
type-detect,4.0.8,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/chaijs/type-detect
type-is,1.6.18,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/type-is
universalify,2.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/RyanZim/universalify
unpipe,1.0.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/stream-utils/unpipe
util-extend,1.0.3,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/isaacs/util-extend
utils-merge,1.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jaredhanson/utils-merge
uuid,8.3.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/uuidjs/uuid
validate-npm-package-license,3.0.4,Apache-2.0,Standalone,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/kemitchell/validate-npm-package-license.js
vary,1.1.2,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/jshttp/vary
wrappy,1.0.2,ISC,Standalone,https://opensource.org/licenses/ISC,https://github.com/npm/wrappy
xml2js,0.4.23,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/Leonidas-from-XIV/node-xml2js
xmlbuilder,11.0.1,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/oozcitak/xmlbuilder-js
yauzl,2.10.0,MIT,Standalone,https://opensource.org/licenses/MIT,https://github.com/thejoshwolfe/yauzl
